row_index,true_value,predicted_class,predicted_probability,Unique ID,match_id,event_index,frame_start,frame_end,rec_player_id,rec_team_short,rec_team_id,dist_to_attacking_goal,team_out_of_possession_phase_type,player_targeted_dangerous,event_row_index,source_file,is_drawing,is_middle_third
1068,0,1,0.8751351288762104,1899585_3949_4005,1899585.0,3949.0,51330.0,51343.0,23418.0,Auckland FC,4177.0,40.437532071084654,low_block,0.0,1068,1899585.0,0,0
1093,1,1,0.7733074672845043,1899585_4028_4037,1899585.0,4028.0,51849.0,51872.0,23909.0,Wellington P FC,867.0,48.25668140268247,medium_block,1.0,1093,1899585.0,0,1
1097,1,1,0.9289106892046749,1899585_4146_4157,1899585.0,4146.0,53737.0,53747.0,23909.0,Wellington P FC,867.0,47.59338609512881,transition/quick_break,1.0,1097,1899585.0,0,1
1101,1,1,0.7483231605854875,1899585_4182_4226,1899585.0,4182.0,54176.0,54176.0,43829.0,Auckland FC,4177.0,53.05856763992032,medium_block,1.0,1101,1899585.0,0,1
1139,1,1,0.7624875849753462,1899585_4182_4229,1899585.0,4227.0,54379.0,54379.0,159938.0,Wellington P FC,867.0,83.15754926643761,medium_block,1.0,1139,1899585.0,0,0
1146,1,1,0.759379194709619,1899585_4271_4298,1899585.0,4271.0,54637.0,54740.0,26969.0,Wellington P FC,867.0,83.68918687620284,medium_block,1.0,1146,1899585.0,0,0
1156,0,1,0.9194215106718501,1899585_4345_4372,1899585.0,4345.0,55790.0,55790.0,51667.0,Auckland FC,4177.0,85.01579676742433,transition/quick_break,0.0,1156,1899585.0,0,0
1168,0,1,0.7950152956951089,1899585_4374_4392,1899585.0,4374.0,55888.0,55928.0,43829.0,Auckland FC,4177.0,42.87059598372759,medium_block,0.0,1168,1899585.0,0,1
1176,1,1,0.6553192695476399,1899585_4588_4638,1899585.0,4588.0,57896.0,57938.0,38673.0,Auckland FC,4177.0,68.15309970940427,medium_block,1.0,1176,1899585.0,0,1
1193,0,1,0.7329944887124245,1899585_4661_4678,1899585.0,4661.0,59199.0,59227.0,6799.0,Wellington P FC,867.0,54.89453980133179,medium_block,0.0,1193,1899585.0,0,1
5251,0,0,0.2379596404377932,1886347_24_24,1886347.0,24.0,283.0,299.0,50978.0,Newcastle,1805.0,72.17169666843091,chaotic/disruption,0.0,5251,1886347.0,1,0
5253,0,1,0.5253354342880946,1886347_196_196,1886347.0,196.0,1631.0,1648.0,795507.0,Newcastle,1805.0,27.12227313482408,chaotic/disruption,0.0,5253,1886347.0,1,0
5254,0,0,0.09000632538028454,1886347_203_203,1886347.0,203.0,1667.0,1715.0,50951.0,Auckland FC,4177.0,74.53415391617456,high_block,0.0,5254,1886347.0,1,0
5257,0,0,0.1510907739733603,1886347_489_489,1886347.0,489.0,4009.0,4009.0,735573.0,Newcastle,1805.0,58.86902835957121,chaotic/disruption,0.0,5257,1886347.0,1,1
5258,0,0,0.43356404486489697,1886347_531_531,1886347.0,531.0,4437.0,4437.0,51713.0,Auckland FC,4177.0,40.19002985816258,chaotic/disruption,0.0,5258,1886347.0,1,0
5259,0,0,0.187782522181262,1886347_877_877,1886347.0,877.0,7447.0,7456.0,38673.0,Auckland FC,4177.0,49.53839823813442,chaotic/disruption,0.0,5259,1886347.0,1,1
5261,0,0,0.17046050513972547,1886347_982_982,1886347.0,982.0,8800.0,8808.0,795505.0,Newcastle,1805.0,53.71153041945463,chaotic/disruption,0.0,5261,1886347.0,1,1
5272,0,0,0.2068077116558945,1886347_2279_2279,1886347.0,2279.0,22907.0,22917.0,795507.0,Newcastle,1805.0,78.36128763617913,chaotic/disruption,0.0,5272,1886347.0,1,0
5274,0,0,0.18006375279836845,1886347_2479_2479,1886347.0,2479.0,24955.0,24955.0,795507.0,Newcastle,1805.0,51.204867932648746,chaotic/disruption,0.0,5274,1886347.0,1,1
5275,0,0,0.11746547424637147,1886347_2748_2748,1886347.0,2748.0,27584.0,27598.0,38673.0,Auckland FC,4177.0,69.01307122567434,chaotic/disruption,0.0,5275,1886347.0,1,1
5276,0,0,0.18932998363889514,1886347_2757_2757,1886347.0,2757.0,27601.0,27617.0,176224.0,Newcastle,1805.0,48.9928729510732,chaotic/disruption,0.0,5276,1886347.0,1,1
5288,0,0,0.4664797432872487,1886347_3849_3849,1886347.0,3849.0,41626.0,41626.0,50951.0,Auckland FC,4177.0,35.12808135950496,chaotic/disruption,0.0,5288,1886347.0,1,0
5294,0,0,0.15035291948213003,1886347_4401_4401,1886347.0,4401.0,48523.0,48531.0,163972.0,Auckland FC,4177.0,58.67017641016601,chaotic/disruption,0.0,5294,1886347.0,1,1
5309,0,0,0.15622047900570113,1899585_452_452,1899585.0,452.0,4638.0,4648.0,51017.0,Wellington P FC,867.0,90.1399650543531,chaotic/disruption,0.0,5309,1899585.0,1,0
5311,0,0,0.15251392722820678,1899585_604_604,1899585.0,604.0,6410.0,6417.0,4322.0,Auckland FC,4177.0,91.1286063758247,chaotic/disruption,0.0,5311,1899585.0,1,0
5312,0,1,0.5203959951805633,1899585_637_637,1899585.0,637.0,6988.0,7025.0,50951.0,Auckland FC,4177.0,66.6093334300832,transition/quick_break,0.0,5312,1899585.0,1,1
5323,0,0,0.07327151941218384,1899585_1126_1126,1899585.0,1126.0,11469.0,11487.0,23909.0,Wellington P FC,867.0,81.7495351668742,high_block,0.0,5323,1899585.0,1,0
5324,0,0,0.18821111897490178,1899585_1190_1190,1899585.0,1190.0,13373.0,13391.0,51017.0,Wellington P FC,867.0,81.97129070595388,chaotic/disruption,0.0,5324,1899585.0,1,0
5326,0,0,0.3477816921813436,1899585_1562_1562,1899585.0,1562.0,19688.0,19697.0,965685.0,Auckland FC,4177.0,75.8275846905333,chaotic/disruption,0.0,5326,1899585.0,0,0
5328,0,0,0.23386418815367405,1899585_1670_1670,1899585.0,1670.0,20681.0,20697.0,23909.0,Wellington P FC,867.0,62.413489727782405,chaotic/disruption,0.0,5328,1899585.0,0,1
5335,0,0,0.3717810186175175,1899585_2478_2478,1899585.0,2478.0,30165.0,30175.0,133501.0,Auckland FC,4177.0,38.77805822884896,chaotic/disruption,0.0,5335,1899585.0,0,1
5337,0,1,0.6337313874781576,1899585_2785_2785,1899585.0,2785.0,33937.0,33954.0,23418.0,Auckland FC,4177.0,33.82085155639935,chaotic/disruption,0.0,5337,1899585.0,0,0
5338,0,0,0.29284831064225947,1899585_2794_2794,1899585.0,2794.0,33971.0,33980.0,698137.0,Wellington P FC,867.0,84.69214131193047,chaotic/disruption,0.0,5338,1899585.0,0,0
5344,0,0,0.27565442327525014,1899585_3008_3008,1899585.0,3008.0,37203.0,37217.0,27003.0,Wellington P FC,867.0,87.63469917789415,chaotic/disruption,0.0,5344,1899585.0,0,0
5345,0,0,0.2852065521528432,1899585_3016_3016,1899585.0,3016.0,38046.0,38046.0,51046.0,Wellington P FC,867.0,52.69663366857507,chaotic/disruption,0.0,5345,1899585.0,0,1
5349,0,0,0.3065563232090892,1899585_3417_3417,1899585.0,3417.0,42772.0,42778.0,23418.0,Auckland FC,4177.0,49.005016069786166,chaotic/disruption,0.0,5349,1899585.0,0,1
5351,0,0,0.31003424130061047,1899585_3626_3626,1899585.0,3626.0,45947.0,45970.0,33697.0,Auckland FC,4177.0,81.64529686393455,chaotic/disruption,0.0,5351,1899585.0,0,0
5357,0,0,0.36137711085119656,1899585_3944_3944,1899585.0,3944.0,51294.0,51308.0,23909.0,Wellington P FC,867.0,73.37488671200794,chaotic/disruption,0.0,5357,1899585.0,0,0
5359,0,0,0.32310967730738344,1899585_4022_4022,1899585.0,4022.0,51826.0,51837.0,23418.0,Auckland FC,4177.0,46.164589243271735,chaotic/disruption,0.0,5359,1899585.0,0,1
5362,0,1,0.5968126833644133,1899585_4066_4066,1899585.0,4066.0,52781.0,52781.0,23418.0,Auckland FC,4177.0,39.10126596416029,chaotic/disruption,0.0,5362,1899585.0,0,0
5365,0,0,0.3054134879504932,1899585_4235_4235,1899585.0,4235.0,54418.0,54426.0,799091.0,Wellington P FC,867.0,82.26432823526854,chaotic/disruption,0.0,5365,1899585.0,0,0
5366,0,0,0.23029689377743517,1899585_4263_4263,1899585.0,4263.0,54542.0,54554.0,6799.0,Wellington P FC,867.0,62.7109001689499,chaotic/disruption,0.0,5366,1899585.0,0,1
